#name	Subject1
Hs.369624	0.714
Hs.84753	-0.018
Hs.428	-0.128
Hs.432593	-0.282
Hs.301132	0.271
Hs.421848	0.442
Hs.15999	-0.652
Hs.253309	-0.234666666666667
Hs.512640	0.808
Hs.90572	0.192
Hs.191994	0.157
Hs.250429	0.516
Hs.17917	0.175
Hs.438891	0.138
Hs.251385	0.161
Hs.98324	-0.121
Hs.370873	0.041
Hs.369984	0.123
Hs.126962	0.234
Hs.356086	-0.188
Hs.374535	0.191
Hs.159448	-0.314
Hs.412117	0.084
Hs.390171	0.591
Hs.212581	-0.03
Hs.258561	0.369
Hs.381081	0.22
Hs.151518	-0.219
Hs.514383	-0.483
Hs.11355	-0.397
Hs.75183	-0.289
Hs.145820	0.577
Hs.102310	-0.331
Hs.374650	0.416
Hs.77273	-0.17
Hs.34114	0.195
Hs.290432	0.287
Hs.404289	-0.06
Hs.130774	0.2375
Hs.262150	-0.213
Hs.166311	0.198
Hs.74615	-0.035
Hs.377992	-0.288
Hs.146861	0.049
Hs.434408	-0.323
Hs.153934	0.33
Hs.11101	-0.162
Hs.65370	-0.267
Hs.109059	0.245
Hs.437779	0.471
Hs.432355	-0.564
Hs.434857	-0.242
Hs.511765	-0.491
Hs.38125	-0.049
Hs.19525	0.213
Hs.29700	0.145
Hs.144979	0.664
Hs.133089	-0.118
Hs.380822	-0.375
Hs.170328	-0.042
Hs.192806	-0.152
Hs.371905	0.291
Hs.129319	0.352
Hs.122138	0.27
Hs.59319	-0.068
Hs.7709	-0.551
Hs.500712	0.48
Hs.209983	-0.211
Hs.2477	0.306
Hs.193273	0.113
Hs.6066	0.259
Hs.392837	-0.008
Hs.194110	0.091
Hs.75074	0.063
Hs.441113	-0.292
Hs.433618	0.076
Hs.1019	0.038
Hs.284266	-0.309
Hs.421457	-0.021
Hs.433046	-0.143
Hs.109857	0.257
Hs.129208	0.24
Hs.408515	0.09
Hs.179825	-0.1
Hs.432466	-0.268
Hs.405410	-0.446
Hs.80887	-0.131
Hs.368085	0.2785
Hs.128770	0.304
Hs.170226	0.145
