# Simulated data for the "single non-numerical covar" crash.
# must do an ANOVA, limma, and use the covariables file for covariates
# reproduce crash
#NAMES	1	2	3	53	5	16	17	18	127	20	21	23	24	25	26	28	70	9	73	74	75	76	78	79	80	81	83	88	50	51	52	53	56	59	68	71	72	73	48	43	42	41	40	35	34	29	28	22
1532-3136	-0.46	0.276	-0.75	0.07	0.73	0.39	0.28	0.11	-0.45	-0.69	0.25	-0.14	0.59	1.08	0.90	0.49	-0.22	0.13	-0.81	0.66	2.60	0.81	1.19	0.56	0.82	-0.16	-0.04	0.39	0.18	0.34	0.80	0.97	0.90	0.51	1.4	-0.54	0.08	0.12	-0.76	-0.50	-1.31	-0.9	-1.14	-1.53	-3.30	-1.77	-0.75	-2.22
26-3070	NA	0.275	-1.00	-2.03	-0.96	-0.03	-0.43	-0.40	-0.24	0.29	-0.66	NA	-0.50	-0.35	-0.98	-0.70	-0.23	0.10	-0.84	0.02	-1.02	-0.93	-0.39	0.50	1.37	0.59	-0.12	-0.04	-1.19	-0.59	-1.16	-0.67	-0.28	-0.41	-0.55	-0.63	-0.21	-0.13	1.65	3.20	2.02	1.26	1.44	1.46	1.44	0.51	1.13	-0.28
25-4309	-0.15	0.274	-1.24	-0.64	-0.22	-0.60	-0.24	0.10	0.76	-0.14	0.52	0.81	-0.14	0.09	-0.24	0.06	0.15	0.18	-1.50	-0.63	-1.54	-3.22	-0.48	1.09	-0.16	-0.64	0.02	0.30	0.26	-0.42	-0.22	-0.15	0.50	-0.23	-2.25	-0.90	-0.26	0.07	1.91	1.68	1.55	1.05	1.75	-0.22	-0.82	1.17	1.99	0.31
127c-5473098	0.99	1.51	-0.82	-0.03	0.25	-0.63	1.11	0.56	0.76	-1.45	0.65	0.79	-0.02	0.80	-0.63	0.30	1.24	0.98	-3.90	-0.44	-2.59	-1.61	0.53	0.54	0.38	-0.14	-0.42	0.44	-0.09	-0.01	0.08	1.24	1.16	0.05	-0.29	0.15	-0.39	-1.20	-0.39	0.57	0.51	0.44	0.50	-0.33	-1.51	0.20	0.67	-0.54
53-43032	0.27	0.77	-0.56	0.31	-0.27	-0.87	-0.50	-0.13	-0.11	-0.17	0.28	1.76	-0.55	-0.35	-1.23	-0.027	0.52	-0.21	-3.37	-0.70	-1.39	-0.31	-0.17	-0.22	-0.51	-0.35	-0.31	0.19	-0.20	0.31	-0.08	0.21	0.4	-0.36	-0.38	-0.37	-0.38	-0.89	3.16	0.09	0.18	1.83	0.98	-0.46	0.80	1.18	2.74	-0.42
29-5473013	0.58	1.18	-0.46	-0.45	0.67	-0.94	0.34	0.03	-0.11	-1.68	0.05	0.64	-0.25	0.65	-1.73	0.63	0.83	0.86	-2.97	-0.19	-1.88	-1.58	0.14	0.38	-0.25	-0.63	-0.62	-0.13	-0.42	-0.50	-0.29	0.54	0.76	-0.20	-0.96	-0.30	-0.63	-1.33	0.33	1.83	2.01	1.72	1.42	0.45	0.02	0.69	1.46	0.30
1271-73109	0.10	-0.41	-1.75	-1.48	-0.58	0.40	0.14	0.36	0.31	-0.46	0.01	0.28	-0.73	0.00	-0.79	-0.26	0.79	-0.04	-0.81	-1.61	0.07	-2.68	-0.25	-0.50	-0.64	-0.82	0.66	0.45	0.01	-0.9	-0.25	0.64	0.18	-0.72	-0.08	-0.81	0.16	-0.36	0.37	2.78	1.80	1.65	1.53	2.29	-0.12	0.96	1.48	-0.54
26b-530627	5.26	-0.82	-0.27	0.17	-0.06	-0.06	0.02	0.17	-0.05	0.20	-0.17	NA	-0.26	0.12	0.33	-0.46	0.01	-0.78	-1.69	-1.19	1.34	-1.89	-0.65	-0.69	-0.74	-1.13	0.15	0.18	-0.11	-0.61	-0.10	-0.05	-0.33	-0.04	-0.19	-0.33	-0.53	-0.26	0.43	1.11	0.91	0.63	0.58	0.36	-0.09	0.61	0.71	0.22
3532-73040	0.10	0.26	-1.11	0.04	-1.45	-0.14	-1.24	0.58	-0.67	-0.71	-0.22	-0.28	0.05	-1.11	NA	-0.627	0.27	-0.66	NA	-0.54	-0.11	NA	-0.10	-0.32	-0.32	-0.19	-0.20	1.63	1.42	1.56	-0.17	-0.46	0.00	-0.76	-1.09	-0.76	-0.48	-0.85	NA	1.88	0.49	1.05	2.54	3.14	NA	0.48	NA	-0.84
732270	0.47	-0.96	0.73	-0.09	-0.73	-0.40	-0.28	-0.12	0.44	0.67	-0.26	0.14	-0.60	-1.07	-0.90	-0.50	0.22	-0.14	0.77	-0.66	-2.52	-0.82	-1.18	-0.56	-0.82	0.14	0.03	-0.39	-0.19	-0.35	-0.80	-0.97	-0.89	-0.52	-1.31	0.52	-0.09	-0.14	0.75	0.49	1.32	0.9	1.15	1.54	3.37	1.78	0.74	2.25
