#name	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"
"1"	0.08215	-1.315	1.166	0.2552	0.6233	1.675	0.8044	-2.531	-0.6957	-0.20037	-0.7006	-0.571236	-0.0696625	0.269673	-0.2264	1.557	0.1676	1.189095	0.255901	0.075216	-0.6621	0.209399	0.134	-0.7864	0.21047	0.04384	-1.022	-0.613	1.329	-0.227251	0.000863	1.518	0.1976	-0.2503	1.523	0.6881	1.268	-0.7673	-1.756	-1.005	-0.03384	-1.157	-0.2271	-0.135	1.588	-0.268	-1.377	1.955	-0.4999	1.317	0.4696	0.07302	0.5629	-0.057576	0.360136	0.40394	0.20996	0.56085	1.155	0.4885152	0.1507	-1.012	1.002	0.7958	-1.638	-3.285	0.1955	0.202	-0.1062	0.8049	0.5684	-0.5951	0.5758	0.5507	1.05	2.633	-0.4608	-2.72	0.1238	0.1324	-0.28245	-0.858	2.337	1.31	-0.1968	-0.4447	-1.359	-0.5426	-0.9347	-0.7719	0.223	-0.1826	0.3498	-0.926	0.8353	-2.49	0.1346	-0.7739	-2.108	2.138	-0.4498	0.012772	-0.06575	1.435	-1.595	1.336	0.904	0.5814	0.3632	-0.1804472	-0.67539	-0.305521	-0.09086	0.4486	-0.07201	-0.9343
"2"	-0.0287	-1.447	0.6651	-0.01561	-1.112	1.046	0.3765	-2.644	-0.6165	0.8088	0.03255	0.4934	0.47206	0.138033	0.06771	1.583	0.9138	0.483935	-0.04377	-0.076373	-0.251	0.630099	-0.78582	-0.3989	0.7806	-1.454	-1.508	1.256	1.239	0.7601	0.0546	2.012	-1.392	-0.6138	1.728	0.4337	2.027	-0.07278	-2.032	-0.1394	-0.001297	-0.8929	-0.6736	-0.3445	1.714	-0.9034	-2.978	1.118	-0.06238	1.329	-0.3429	0.1786	0.7494	-0.5225	-0.07849	-0.1299	-0.18755	2.186	1.69	0.09872	-1.105	-0.2744	0.476	0.0003502	-2.116	-2.051	0.2551	0.2631	-0.0881	0.925	0.5815	-0.3729	0.984	-0.09221	1.006	1.816	-0.5358	-3	-0.2611	-0.2295	-0.782	-0.6079	2.503	1.307	0.1234	-0.2456	-1.252	-0.2154	-0.8946	-0.2888	0.5511	0.005509	-1.427	-2.085	0.3764	-1.312	0.8987	-0.7398	-1.3	1.43	0.3403	1.01	-0.6326	1.297	-0.9657	1.461	0.6482	0.7615	0.4184	-0.323	-0.2393	-1.368	-1.054	0.4529	0.8321	-0.2151
"3"	0.5583	-1.329	1.394	0.3924	-1.848	0.4817	-0.3945	-0.5035	-0.342681	-0.7593	0.08553	-0.122396	-0.4614525	0.36	0.7997	0.4622	0.15568	0.4126	0.62845	0.008393	0.468	-1.477	0.7371	0.1498	0.2622	-1.178	0.4857	0.04115	0.399	-0.2872	-0.9608	1.508	1.418	-0.6291	1.168	-0.1317	-1.283039	-0.6581	-1.801	0.2943	0.3803	-0.6653	0.3321	0.7491	1.181	-0.9318	-1.114	1.685	-0.3687	1.153	0.2907	0.2062	1.018	-2.129	-1.946	-0.01424	1.476	1.035	0.4581	0.2024	0.5688	0.2023	0.5586	-0.594	-2.066	-2.318	0.5707	-0.4284	-0.6326	0.6265	0.317	-0.3065	0.5184	0.2773	0.2111	2.476	0.7777	-1.329	-0.8786	-0.736	-0.5495	0.5056	2.418	0.8412	0.8508	-0.1242	-0.4425	-0.546	-0.8641	-0.1773	-0.67076	0.19	-0.7336	-1.104	0.6439	-1.692	1.377	-0.9493	-0.8694	0.7789	-0.45199	0.3984	-0.008156	0.5517	-0.1412	1.019	0.1856	0.04598	0.8108	0.01544	-0.2638	-1.351	0.01134	-0.13175	0.141735	-1.721
"4"	0.5067	1.132	-0.4276	1.515	-1.005	0.1931	-0.7931	1.117	-1.115	1.158	-0.8561	-1.006	0.3140575	0.559753	-0.5189	-0.8674	-0.145691	0.61467	0.64789	-0.6672	-0.2666	0.318	0.5325	0.4929	0.7293	-1.06928	2.437	1.18	-1.16	0.2428	-0.5177	-0.1858	0.8669	-1.207	-1.425	1.064	-0.2465	0.2019	-0.2427	0.6116071	1.663	0.2938	0.6031	0.4992	-0.938	-1.086	-1.023	-0.1797	-1.064	-0.6551	0.3048	-0.9097	-0.9289	-0.1878934	1.141	2.135	-1.295	0.070651	0.6972	-0.06856	0.14251	1.037	-1.439	-0.9009	-0.67147	0.8971	-1.015	0.2877	0.3245	0.3225	-0.698	-0.1454	0.1425	0.5804	0.1762	-0.5692	-0.08616	0.2774	-0.3025	-0.01895	-0.07642	0.1977	0.6144	-0.4897	0.3299	0.07694	-0.2304	-0.1269	0.849	-0.1502	-0.7623	-0.8889	-0.5285	-0.5834	0.517	-0.3716	-0.4167	-0.09724	0.5967	-0.532	-0.3601	-0.6815	0.7669	0.7078	1.082	-0.01921	0.5637	-0.4319	-0.1421	-0.4875	-0.2297	-0.05152	0.07144	0.3134	0.1317	0.5484
"5"	1.389	0.7247	-0.031536	0.2588	0.490127	0.3972	0.154	0.223401	-0.1169064	-0.60789	-0.03169	-0.211784	-0.14243	-0.200547	-0.04582	-2.949	-0.225225	0.31023	0.675656	0.458715	0.25537	0.314517	0.07161	0.3212	0.1276	-0.1416	-1.195	1.085	0.1564	-1.145	0.1496	0.3485	1.505	-0.4628	-0.2661	-0.8583	-0.5462	0.6812	0.03065	1.064	-0.3453	-0.5729	-0.5826	-0.7935	-0.09068	-0.17424	0.08558	0.4106	0.1566	0.6642	-1.095	1.003	0.2665	-0.253426	-0.824353	-0.45496	-0.257378	0.0590232	0.8125	0.05306	0.07921	0.2067	0.6643543	0.20704	0.547	-1.261	-0.3449	0.6403	-0.629	-1.123	-0.8054	0.3612	0.5081	-0.7161	-0.5232	-0.5567	0.9404	1.91	0.02408	-0.4704	-0.01085	1.305	-1.61	-0.6562	-0.4965	0.3935	-0.1528	0.6437	0.1105	0.0003394	-0.4697	-0.1574	2.282	-1.004	0.6035	0.328	0.2858	-0.7387	-1.206	1.37	0.6995	0.201	0.3025	-0.8276	-1.614	-0.3546	-1.091	-0.5554	1.295	-0.6239	1.224	0.5261	0.922	-1.16	-0.6348	1.309
"6"	0.7938	0.3878	-0.7064	1.612	1.048	0.5633	0.9741	-1.106	0.471	-1.33	1.446	-1.507	-2.746	-0.2555	-0.4438	-1.337	-0.15605	1.01051	0.190465	-0.064784	0.3596697	-0.0020798	-0.70816	-1.36	-0.6983	-1.455	-1.549	1.051	-0.1875	-0.39774	0.3347	0.5846	-1.418	-0.4627	-0.163	-1.368	0.5719	0.6103	0.73552	3.029	0.074257	0.211234	-0.363148	0.078923	4.027	0.659527	0.104865	-0.11548	0.613589	0.1133	-1.018	-0.1583	0.329259	0.8856	0.1076	-1.621	0.8026	-1.16	0.478724	0.4608	-1.417	0.1887	-0.01791	1.079	0.9801	-0.8295	0.05517	0.7885	-0.3367	-1.051	-0.1202	0.4474	0.6793	-1.101	0.163	-0.09445	0.6976	1.699	-0.05169	-0.7902	-0.2636	0.9075	-1.521	-0.4139	-0.5793	0.5517	0.4444	0.6449	0.1528	0.1256	-0.5795	-0.2791	1.914	-0.6566	0.8107	0.2472	-0.05493	-0.9274	-1.464	1.747	0.6637	-0.6608	0.1717	-1.044	-1.565	-0.4944	-0.9375	-0.9131	1.454	-0.4157	0.8781	0.3163	-0.333204	-0.825626	-0.33125	0.8102
"7"	1.263	0.2457	-0.02246	1.323	1.078	0.2362	0.675	-0.536	-2.156	-1.671	1.367	-0.1161	0.11966	-0.7895	-0.5718	-1.61	0.06164	-0.06231	0.367946	0.445835	-0.14441	0.215843	0.007617	-2.431	0.8864	0.03716	-2.477	-1.669	0.1742	-1.127	1.112	0.5432	1.326	0.406	0.1337	0.8695	0.2896	-0.002992	-0.1476	0.9364	0.1865	-0.8381	-1.331	0.7943	-0.9189	-0.6806	1.061	1.077	-0.09959	1.11	-1.083	0.4633	1.18	0.1463	-0.9727	-0.3271	-0.2267	-0.6842	0.4213	0.4345	0.652	1.131	0.6068	-1.373	0.005767	-0.2448	0.6489	-0.891	-0.1442	-0.6792	0.2723	0.6939	0.3208	-0.3584	0.9125	0.537	0.6461	-0.05031	0.1158	0.5163	-0.7151	0.341	0.4437	0.1176	0.1992	0.6302	0.1539	0.03541	-0.6468	0.3751	-0.661	0.7504	0.3308	-0.4821	-0.2958	0.9257	1.587	-0.88	-1.308	1.068	-0.2978	0.05574	-0.1958	-0.5739	-0.6548	-0.2849	0.128	0.002357	0.8982	-0.2902	0.4176	0.2258	0.1577	-0.1553	0.119	-3.412
"8"	1.61	1.063	0.2123	0.3136	0.4657	1.208	-0.7413	-2.126	-0.9953	-2.232	0.5158	-1.021	-1.032	0.5722	-0.1801	-1.102	-1.091	0.6748	-0.01457	-0.8884	1.143	1.287	-0.08465	-0.2619	-0.09549	0.4083	0.5459	-0.6416	-0.5647	-0.03996	0.1425	0.01538	0.8791	-0.02985	-0.4582	-1.435	-0.0863	-1.414	0.6595	-0.06746	-0.1984	-0.505	0.1473	-0.2926	0.7642	0.3325	-0.3895	1.159	0.3885	-0.3679	0.71	-0.2955	0.5304	-0.6626	0.3414	-0.09296	-0.2096	0.319569	1.184	-0.2884	-0.5169	0.3726	0.2499	-0.1897	-0.1971	0.05332	0.416	-0.3562	1.14	0.2096	-0.2499	-0.006311	-0.5604	-0.7796	0.2163	0.3738	0.0929	-0.3735	-0.9014	-0.1659	0.2206	0.1767	-0.4585	-0.9397	0.149	-0.733	0.3617	-0.1248	-0.142	0.4298	0.3568	-1.149	1.534	-0.0473	-0.365	-0.3026	-0.1377	-0.2712	-1.058	-0.406	0.08895	0.08652	-0.525	0.6929	-0.143	0.03385	-0.2202	0.5651	0.354	0.7986	-0.2696	-0.7755	0.6105	0.5185	0.6667	1.785
"9"	-0.166759	0.2638	-0.305913	0.0974845	1.275	0.3913	-0.011243	-0.21139	-0.208	-2.291	-0.60324	-0.191983	0.19806	0.1235216	0.29330972	0.2178	0.104789	0.857873	0.362446	0.2776	0.17116	-0.12755	0.17406	-0.348268	-0.3372	0.9896	0.5412	-0.1913	-0.4284	-0.1517	-0.6902	-0.1264	0.008328	-0.3616	-0.7909	-0.8211	0.205	-0.3386	0.1588	0.0228	-0.1841	-0.3597	0.0986	0.4567	0.3755	-0.01824	-0.1783	-0.2693	1.105	0.5214	0.2683	0.8707	0.3656	-0.3573	0.5127	-0.2497	-2.168	0.8392	0.5537	0.1149	0.5424	-0.4542	-0.6758	0.1325	0.3042	0.04158	0.1242	-0.06216	0.3756	-0.0643	-0.1988	-0.2202	-0.4113	-0.08149	0.2543	-0.16478	0.01599	-0.1084	-0.2013	0.0832	0.06173	0.3188	-0.1874	-0.4486	-0.5729	-0.04291	0.03874	0.1733	-0.2949	-0.2261	0.02284	-0.3778	0.1447	-0.1632	-0.006898	-0.05747	-0.5636	-0.1551	0.142486	-0.1389	-0.3426022	0.0476	-0.2569	0.389	-0.06695	0.2569	0.08188	-0.09178	-0.1799	0.07469	0.07145	0.09663	0.9616	0.730174	0.4298	1.281
"10"	-2.194	-0.47654	1.204	2.045	-0.8343	-0.03405	-0.6963	-0.0418657	-0.066545	0.03883	-0.42119	-0.145133	0.4118575	0.027173	-0.9741	-0.8376	-0.155402	1.083113	0.270016	-0.39407	0.262448	-0.035071	-0.03068	-0.1387027	0.1934	1.131	-1.808	-0.7337	-0.12561	0.07293	-1.006	-0.7057	-0.371	-0.846	1.711	2.362	-0.3224	-1.345	-0.9286	-0.7496	0.1735	-0.3151	-1.154	0.2433	0.3571	0.2374	-0.08064	0.09938	1.235	0.02898	-0.6151	0.2144	0.4172	0.07663	0.229177	0.10186	2.404	0.16749	0.6043	-1.025	-0.404	0.02765	-0.022067	1.829	-0.6352	0.449899	-0.2701	0.4712	0.304	0.549	0.1895	0.3951	-0.195	-0.2551	0.1377	-0.2348	-0.6757	1.449	-0.156	0.5555	-0.4609	-0.5488	0.1799	0.5768	0.3774	0.2514	-0.4859	0.1256	0.6475	-0.5617	-0.4718	-0.01143	0.024	-0.7489	-0.4416	0.4159	-0.512751	-0.1607	0.05916	0.8865	-0.2856	-0.8681	-0.5316	0.441333	-1.418	0.009283	-0.1048	-0.06244	-0.6646	0.205	0.4718	0.472	-0.07207	0.05555	1.03018	0.6619
