V1	V2	V3	V4
B	B	k	2.35036320418695
E	C	l	0.187517962938024
D	A	m	-0.366249559777743
B	A	k	-0.477660650504677
F	C	l	-0.000837261939171345
F	B	k	-0.214967182466750
A	C	k	-1.39929250911265
F	F	k	0.0102513054956547
C	E	k	-0.0314634141202166
D	B	k	1.17845107111843
D	D	m	-1.59944409293309
B	F	l	0.486869784173435
E	C	l	-1.68765549051365
B	A	m	-0.148746560177541
C	A	l	-1.07993708533883
F	A	m	-1.66860333402508
F	E	k	-0.125296414015233
B	C	k	-0.926282768661163
C	D	k	-0.977711768915092
A	E	k	-1.31035797719031
D	E	m	-0.795304384699343
C	F	l	-0.650701337322228
F	A	m	-1.47283074809649
A	F	m	1.14135310627622
C	D	m	-0.276922779554274
C	A	k	-1.70022186225045
A	B	l	0.177140412565291
C	F	k	0.896585117134613
F	F	l	1.05011259022241
A	B	k	-2.05931944366526
A	E	k	-0.349087433497476
A	D	m	1.37812664303751
E	B	l	-0.129223710057053
F	E	l	0.238152420583412
D	C	m	1.14359606703505
D	B	m	0.876093514334378
F	F	m	0.266010035202058
B	A	l	0.499601858859935
E	F	m	-0.839572759328209
A	B	m	-2.23642853661815
F	D	m	-0.699756320813024
B	D	l	-1.56900856742296
A	E	m	-1.87273655623573
A	B	l	-2.13670195832206
F	C	m	0.370073247138563
E	B	k	0.406829040939009
F	B	l	2.84399543269681
C	D	k	-1.63858048992994
D	B	k	-0.0497364798055489
E	C	l	-0.624359063825556
A	E	m	0.283128241632208
A	E	k	0.0994741507334133
E	B	l	0.682085596890462
F	C	m	1.43177616309749
B	B	m	-1.00946471011167
E	B	m	-1.21164826662310
E	C	l	1.06986973173091
F	F	l	0.729071177708896
D	C	k	0.173992003236794
E	E	l	-1.81407327613542
E	B	m	0.97642755938952
F	F	k	-0.414875094409576
D	B	k	0.86839215365091
B	A	k	0.540611305530772
F	B	m	-1.45947349700154
C	F	k	0.377348196752081
C	F	k	-0.195587066080198
C	A	k	0.834142152823143
B	E	k	-3.21019571567351
A	B	l	0.506898264269163
B	D	m	-1.12750444101297
B	A	k	0.170130326757514
A	F	l	-1.54141798606956
B	A	l	1.36591637229391
B	D	m	-0.45430949879642
E	F	m	0.958583195709594
B	A	k	1.12024145395928
F	B	m	-0.00214804672760426
C	F	m	-0.864004293242106
D	C	l	0.119136888679314
C	E	m	0.500865022612264
E	C	m	0.141202693410579
A	A	m	-0.783747957359068
C	D	k	0.66200762862479
B	D	m	-1.09199309750174
F	F	l	0.962741062613016
F	D	m	2.02825409243445
B	F	k	0.344218478717862
E	E	k	-2.19707747413200
C	A	k	-0.0343007839787251
F	F	k	0.71948542500059
C	A	m	0.66475795359163
C	E	l	-0.149339618547255
D	A	m	-0.146044074696738
C	A	k	-1.44931910916278
