sep-02	0.82	1.466	1.379	1.769	0.819	1.253	0.591	1.505	0.55	0.813	1.292	1.115	0.342	0.382	1.017	1.846	0.063	0.14	-0.099	-0.522	-0.362	0.285	0.484	0.645	0.209	0.81	0.857	-0.082	-0.099	0.714	-0.199	0.312	0.209	0.678	-0.731	0.165	-0.609	0.543	0.082	-0.379	0.128
oct-11	-1.484	-1.965	-2.06	-1.591	-2.171	-2.021	-2.43	-1.287	-3.321	-2.973	-2.277	-2.717	-2.031	-0.518	0.329	-1.175	1.166	0.576	0.147	0.905	-0.425	-0.687	-0.847	-0.356	0.145	-1.533	-0.093	3.099		-3.366	-0.1	0.745	0.209	-0.025		-0.902	-0.123	0.092	-0.879	0.189	0.111
54TM	0.951	1.073	1.323	1.385	1.02	0.876	1.916	2.334	2.398	0.736	0.565	0.908	0.085	0.087	-0.252	0.165	-1.598	-1.515	-1.001	-0.547	-0.148	-0.961	-1.223	-2.046	-1.881	-1.252	-0.862	-2.94	-1.586	1.781	-1.773	-0.62	-0.62	0.482	-1.965	-0.949	-0.629	-0.223	-0.892	-0.284	0.011
76P	-0.184	0.084	-0.142	-0.098	-0.183	0.268	-0.041	0.792	-0.398	-0.208	-0.07	-0.402	-0.045	-0.075	-0.028	-0.034	-0.344	-0.3	-0.823	0.143	-0.087	-0.409	-0.161	0.088	0.455	0.23	0.103	0.121	-0.07	0.074	-0.497	0.259	-0.128	0.288	-0.871	-0.039	-0.251	0.076	-0.117	-0.419	-0.129
A14GALT	-0.547	0.18	0.005	-0.365	-0.35	-0.529	0.47	1.049	0.358	-0.011	0.248	-0.353	0.419	-0.405	0.167	-0.63	0.651	0.9	0.091	-0.128	-0.042	-0.746	-0.125	0.345	-1.231	-1.299	-1.262	-0.033	-0.906	0.15	-0.311	-1.066	-0.228	-0.472		-0.83	-0.12	0.355	0.323	0.183	-0.343
A2M	0.049	-0.164	0.102	-0.174	0.233	-0.023	-0.08	0.57	0.127	-0.305	-0.276	-0.024	-0.379	0.399	0.337	0.724	-0.647	-0.284	-0.581	-1.042	-0.04	-0.003	-0.227	0.411	-0.11	0.171	0.275	-0.26	-0.572	-0.366	0.435	0.051	-0.35	-0.651	0.882	0.616	-0.396	-0.248	-0.64	-0.337	0.172
AASDHPPT	0.731	0.813	0.588	1.651	0.289	1.061	1.09	1.794	1.06	1.033	0.363	0.762	0.739	-0.022	-0.135	0.983	-0.127	-0.16	0.355	-0.312	0.09	-0.047	-0.114	-0.149	1.554	0.56	0.287	-1.11	-0.042	1.927	-1.276	0.131	-0.093	-0.109	-1.184	0.086	-0.648	-0.867	0.027	-0.445	0.153
ABCA1	-1.318	-1.026	-1.106	-1.227	-1.145	-1.27	-0.69	-0.379	-0.417	-0.957	-1.23	-0.864	-0.828	0.275	0.004	0.874	0.463	-0.159	-0.081	0.987	0.384	0.867	-0.767	-1.564			-0.54	2.81	1.3	-0.879	-1.495	-0.263	-0.693	-0.485	-1.708	0.119	-0.243	-0.302	0.295	-0.046	-0.304
ABCB1	-0.608	-0.242	-0.231	-0.848	-0.248	-0.293	-0.761	0.15	-0.739	1.002	-0.075	-0.047	0.909	0.34	0.716	-0.305	-0.241	0.277	-0.349	-0.211	0.338	-0.107	-0.482	-0.17	0.126	-0.288	0.054	0.751	0.377	-0.627	0.575	-0.224	-0.018	0.285	-0.085	0.794	0.43	0.634	0.92	0.655	0.155
ABCB6	-0.199	-0.354	-0.162	-0.18	-0.255	-0.326	0.03	0.486	-0.424	0.013	-0.121	-0.065	0.258	-0.257	-0.178	-0.074	0.535	0.893	0.736	0.507	0.186	-0.616	1.187	0.366	-0.578	0.348	-0.038	0.244		-0.328	-0.768	-0.811	-1.074	-0.402	-1.35	-0.392	0.032	0.689	0.781	-0.451	0.29
