#NAME	p40	p4	p44	p14	p6	p31	p43	p45	p43	p30	p16	p44	p17	p7	p43	p4	p3	p34	p11	p46	p3	p132	p13	p14	p10	p47	p13	p1	p5	p15	p41	p32
somegene3134	0.434	0.435	-0.173	-0.03	-0.052	-0.404	0.404	-0.017	0.354	0.0032	-0.144	0.0632	-0.036	-0.4332	-0.431	0.403	-0.756	-0.523	-0.351	0.004	-0.456	0.411	-0.103	-0.432	-0.547	0.015	0.054	-0.413	-0.51	0.173	-0.411	0.615
somegene3352	-0.527	-4.444	-1.44	-4.1132	-4.443	-4.073	-1.413	-1.564	-1.371	-1.324	-4.374	-4.444	-1.441	-4.744	-0.36	-1.0324	-4.571	-3.061	-4.361	-4.131	-4.307	-4.145	-1.4432	-1.773	-0.3246	-4.333	-1.537	-0.303	-1.446	-4.3032	-4.613	-4.435
somegene3574	-0.064	0.341	0.065	-0.015	-1.563	-0.356	0.001	0.345	0.103	-0.434	-0.3253	-0.3132	-0.105	0.055	-0.473	0.046	-1.4332	-1.455	-0.034	-0.037	-0.313	-0.047	-0.136	-0.153	-0.414	-0.505	-0.137	-0.407	-0.734	-0.4132	0.017	-0.3203
somegeneA3364	-0.4632	0.451	0.057	-0.44	-1.4325	-0.3241	-0.004	0.446	0.444	-0.417	-1.117	-0.336	-0.4321	-0.416	-0.341	0.064	-1.651	-4.114	-0.334	-0.011	-0.6732	-0.041	-0.1332	-0.403	-1.132	-0.6326	-0.14	-0.434	-1.431	-0.545	-0.3032	-1.105
somegeneB5037	0.34	-0.454	0.054	-0.013	0.33	-0.707	-0.0326	-0.356	0.053	-0.344	-0.3203	-0.1332	-0.137	-0.445	-0.35	-0.155	0.331	-0.055	0.115	0.1332	-0.544	0.133	-0.155	-0.6	-0.634	0.051	0.1327	-0.411	-0.3273	0.174	-0.317	0.047
somegene5334	-0.017	-0.135	0.3032	0.334	0.3132	-0.133	0.074	-0.101	-0.004	-0.1032	-0.463	0.03	0.005	-0.047	0.013	-0.004	0.135	-0.706	-0.3321	-0.403	-0.5327	0.057	0.133	-0.101	-0.146	-0.315	-0.145	0.431	-0.434	-0.163	-0.164	-0.411
somegene7433	0.764	1.4323	1.7332	0.3325	0.167	1.3432	0.516	4.477	1.5532	-0.736	1.605	0.4532	-0.044	1.5532	4.037	0.713	-0.17	0.56	4.1532	0.531	1.361	0.475	0.336	0.105	0.35	0.473	0.466	0.304	0.311	0.3251	1.045	0.446
somegeneC0525	-1.7324	-1.764	-1.067	-1.777	-0.601	-1.004	-1.436	-1.567	-4.665	0.5324	-4.3323	-0.353	-0.145	-1.443	-0.353	-1.43	-1.373	-4.17	-1.32432	-4.3241	-0.507	-1.434	-1.3235	-1.33	-0.373	-1.3263	-0.333	-3.4032	-4.363	-1.036	-4.306	-0.331
somegene1073	0.063	-0.433	-0.476	0.1332	-0.611	0.015	0.0323	-0.001	0.443	-0.037	-0.463	-0.4432	-0.057	-0.536	0.0032	-0.413	-0.657	-0.431	0.034	-0.104	0.34	0.1	-0.035	0.664	0.3234	0.5332	0.003	-0.001	0.044	0.167	0.013	0.564
somegeneFC43245	0.3326	0.513	0.1326	0.133	0.333	0.033	-0.145	0.146	0.401	-0.1332	-0.474	-0.144	-0.033	-0.354	0.134	-0.1324	0.033	-0.453	0.4323	0.346	0.141	0.476	0.143	0.0732	-0.4032	0.763	0.535	-0.043	-0.435	0.435	-0.0032	1.534
