#X.UG	UG.End.1
Hs.224397	-500
Hs.351334	-500
Hs.44532	500
Hs.24167	-500
Hs.371458	-500
Hs.173464	500
Hs.22785	-500
Hs.83634	500
Hs.503095	-500
Hs.437433	-500
Hs.440769	-500
Hs.533052	-500
Hs.148864	-500
Hs.490080	500
Hs.16081	-500
Hs.206097	-500
Hs.434387	500
Hs.236774	36.9376898743212
Hs.406064	-500
Hs.37107	-337.759242393076
Hs.57691	-500
Hs.102402	-500
Hs.155976	-500
Hs.372463	500
Hs.19545	500
Hs.237506	-500
Hs.415735	500
Hs.512126	500
Hs.458436	-500
Hs.158029	380.197730846703
Hs.305890	500
Hs.421621	-500
Hs.109059	-474.212749395519
Hs.437638	-500
Hs.446320	500
Hs.9663	-500
Hs.381928	500
Hs.306051	500
Hs.349082	500
Hs.87191	-500
Hs.48029	500
Hs.440404	500
Hs.344524	-500
Hs.167496	-500
Hs.414795	500
Hs.349845	500
Hs.194350	-500
Hs.292477	-349.609057884663
Hs.202453	-358.935380354524
Hs.73793	500
Hs.89791	-500
Hs.95577	-500
Hs.345444	-500
Hs.450230	-500
Hs.25155	-500
Hs.213289	-500
Hs.153752	-500
Hs.172609	-500
Hs.1432	500
Hs.408567	500
Hs.26899	500
Hs.97644	-59.9094317294657
Hs.458375	500
Hs.111460	500
Hs.226483	60.0700988434255
Hs.128823	-500
Hs.274428	500
Hs.439874	-500
Hs.496897	500
Hs.148767	-500
Hs.432605	-500
Hs.24970	-500
Hs.309452	-500
Hs.418097	-500
Hs.326372	500
Hs.104636	469.575689639896
Hs.153479	500
Hs.204475	317.003494128585
Hs.445255	500
Hs.284275	-500
Hs.149609	-500
Hs.445242	-500
Hs.132377	500
Hs.166109	500
Hs.201667	-500
Hs.130188	-500
Hs.74597	-500
Hs.282981	-500
Hs.512155	500
Hs.360943	500
Hs.370774	-500
Hs.434866	149.283923674375
Hs.32352	-500
Hs.363572	500
Hs.279742	-500
Hs.370414	-500
Hs.7299	500
Hs.41587	500
Hs.101735	-500
Hs.17267	-500
Hs.324178	-500
Hs.388622	500
Hs.17428	-500
Hs.20084	500
Hs.325862	500
Hs.411958	500
Hs.109438	-500
Hs.4069	500
Hs.25996	-500
Hs.440494	-500
Hs.284226	-500
Hs.437111	180.086740292609
Hs.458404	-500
Hs.17483	-500
Hs.181195	500
Hs.106469	500
Hs.459128	500
Hs.137432	301.064210943878
Hs.439014	-500
Hs.266935	-500
Hs.25924	-297.931272070855
Hs.512466	-500
Hs.145642	500
Hs.15562	-500
Hs.438953	500
Hs.75682	500
Hs.308709	-500
Hs.409911	-500
Hs.275775	-500
Hs.432330	-500
Hs.144519	500
Hs.29052	-500
Hs.193725	-500
Hs.41379	500
Hs.79095	-500
Hs.439203	500
Hs.58648	500
Hs.133419	500
Hs.446501	500
Hs.174083	189.767631236464
Hs.133206	-500
Hs.17211	500
Hs.436200	-500
Hs.194703	-500
Hs.300624	500
Hs.276506	500
Hs.1027	-244.818315841258
Hs.9075	500
Hs.212581	-32.3280622251332
Hs.165743	500
Hs.332115	-500
Hs.114360	500
Hs.172648	500
Hs.72924	-500
Hs.350631	500
Hs.111	-500
Hs.8546	18.3093524537981
Hs.267659	500
Hs.250113	500
Hs.445201	500
Hs.369557	-500
Hs.267659	500
Hs.4994	-500
Hs.439144	500
Hs.350631	-500
Hs.110713	500
Hs.415794	-500
Hs.181163	-500
Hs.23170	-500
Hs.277568	190.675191115588
Hs.443914	-500
Hs.21486	500
Hs.2780	500
Hs.75545	-500
Hs.12503	-202.000050339848
Hs.80645	500
Hs.119000	500
Hs.159534	500
Hs.1650	-202.624956145883
Hs.158315	-500
Hs.258536	-500
Hs.41707	500
Hs.422215	-500
Hs.387787	-500
Hs.226755	-500
Hs.180686	-500
Hs.27335	500
Hs.106552	500
Hs.293970	-500
Hs.308	-500
Hs.23047	-500
Hs.435811	500
Hs.482384	-500
Hs.247734	-336.414254270494
Hs.1544	500
Hs.436015	500
Hs.173980	500
Hs.521649	-500
Hs.279903	-500
Hs.75782	-500
Hs.102336	500
Hs.80545	-500
Hs.512847	500
Hs.3426	-500
Hs.487662	500
Hs.130969	500
Hs.98428	-500
Hs.158237	500
Hs.297660	500
Hs.239176	-500
Hs.388918	500
Hs.405214	500
Hs.443793	-500
Hs.301612	500
Hs.6061	-500
Hs.433252	500
Hs.789	500
Hs.420036	500
Hs.82963	-420.727119781077
Hs.28853	500
Hs.153227	500
Hs.123464	500
Hs.121575	500
Hs.198003	-500
Hs.324178	309.060732834041
Hs.127602	-500
Hs.3532	375.780309550464
Hs.170133	500
Hs.438669	-224.799527786672
Hs.419240	-500
Hs.1422	-500
Hs.121178	-500
Hs.46700	-310.071597341448
Hs.171025	500
Hs.289107	-500
Hs.387382	-500
Hs.130685	500
Hs.87202	331.710556056350
Hs.440769	500
Hs.115166	500
Hs.198249	-500
Hs.81376	-500
Hs.89014	242.761189583689
Hs.19525	-500
Hs.44930	-500
Hs.350631	-500
Hs.368950	500
Hs.89648	-500
Hs.99126	-121.498228982091
Hs.323562	-500
Hs.156637	500
Hs.7788	-500
Hs.443695	500
Hs.382044	-500
Hs.128856	500
Hs.269636	-500
Hs.435290	500
Hs.386527	468.125902116299
Hs.3887	500
Hs.511486	500
Hs.241503	500
Hs.12114	-24.748167488724
Hs.407833	-500
Hs.139649	437.880128156394
Hs.356096	500
Hs.216485	-54.7793670557439
Hs.5978	-500
Hs.27693	-500
Hs.201972	500
Hs.117105	500
Hs.255526	-500
Hs.511400	-500
Hs.12913	500
Hs.31532	284.060637932271
Hs.434201	-500
Hs.512249	500
Hs.71040	500
Hs.258811	500
Hs.13209	500
Hs.44208	500
Hs.409258	-500
Hs.128846	500
Hs.111024	500
Hs.529649	-500
Hs.74120	-500
Hs.19012	500
Hs.380089	-500
Hs.89657	-500
Hs.439486	500
Hs.15099	311.760667245835
Hs.192806	500
Hs.368147	-500
Hs.29700	-500
Hs.11314	-500
Hs.446354	500
Hs.85195	-500
Hs.500245	-500
Hs.439548	500
Hs.279582	-500
Hs.136664	-500
Hs.32989	500
Hs.406050	500
Hs.438970	500
Hs.442199	500
Hs.154151	-500
Hs.448610	-500
Hs.196270	-500
Hs.367833	-242.274990305305
Hs.279518	-500
Hs.26208	500
Hs.75527	-500
Hs.436687	-500
Hs.388004	-500
Hs.202430	500
Hs.151134	500
Hs.9663	119.498234707862
Hs.350631	-423.797734547406
Hs.169902	-500
Hs.79769	-500
Hs.294030	-500
Hs.333389	500
Hs.177162	500
Hs.286233	500
Hs.226581	-500
Hs.292925	-500
Hs.249184	-450.194401200861
Hs.66744	500
Hs.86859	-500
Hs.413812	-500
Hs.432787	500
Hs.76366	-500
Hs.54089	-500
Hs.75199	-500
Hs.32963	-500
Hs.365207	-500
Hs.390758	500
Hs.25601	500
Hs.323342	500
Hs.174195	-500
Hs.184927	-500
Hs.439511	500
Hs.69429	500
Hs.372800	-500
Hs.69171	500
Hs.204891	500
Hs.150136	500
Hs.3136	500
Hs.442707	500
Hs.76894	-500
Hs.445203	500
Hs.253536	500
Hs.78465	500
Hs.521456	-500
Hs.433813	500
Hs.161279	500
Hs.268554	500
Hs.169191	-500
Hs.145140	-500
Hs.136102	-500
Hs.368611	-500
Hs.191475	500
Hs.272493	155.957778915763
Hs.386939	500
Hs.146449	-500
Hs.90061	500
Hs.80720	-500
Hs.211203	-500
Hs.405410	-500
Hs.10119	-500
Hs.389182	85.150117520243
Hs.406064	-500
Hs.180919	-500
Hs.223025	500
Hs.323949	500
Hs.112405	-500
Hs.84318	500
Hs.26931	-500
Hs.131121	500
Hs.117050	-500
Hs.355874	-500
Hs.8526	500
Hs.446619	500
Hs.170333	-500
Hs.41324	500
Hs.279623	-500
Hs.63287	-500
Hs.301412	-500
Hs.408200	-500
Hs.133234	-500
Hs.54673	500
Hs.143527	500
Hs.49002	500
Hs.19545	500
Hs.132980	-500
Hs.7768	-371.732129715383
Hs.179838	-500
Hs.434387	-500
Hs.179657	-500
Hs.349611	-500
Hs.496511	500
Hs.81665	-500
Hs.109225	-500
Hs.421597	-500
Hs.340945	-500
Hs.329502	-500
Hs.78948	500
Hs.278186	500
Hs.469349	500
Hs.368256	500
Hs.512587	-500
Hs.274470	500
Hs.445168	500
Hs.473788	-500
Hs.74376	-500
Hs.20022	500
Hs.23158	-500
Hs.155281	500
Hs.528111	303.003429435194
Hs.177486	500
Hs.80426	500
Hs.5734	500
Hs.105460	500
Hs.236438	-28.1487544998527
Hs.444247	-500
Hs.320368	500
Hs.445445	-500
Hs.21	-500
Hs.173724	500
Hs.118126	500
Hs.437060	-500
Hs.150011	500
Hs.260523	500
Hs.306899	500
Hs.78466	336.260504554957
Hs.162951	500
Hs.82240	500
Hs.306291	500
Hs.2053	-500
Hs.530938	-500
Hs.373914	-500
Hs.186635	-500
Hs.128305	500
Hs.98397	500
Hs.32163	357.000376097858
Hs.82294	500
Hs.150366	500
Hs.54472	-500
Hs.75842	-500
Hs.469154	500
Hs.55209	131.348422728479
Hs.434890	500
Hs.153244	-500
Hs.399758	500
Hs.264482	-500
Hs.442989	-500
Hs.106511	500
Hs.75432	500
Hs.371546	500
Hs.444289	-500
Hs.27621	-500
Hs.335293	500
Hs.437779	-500
Hs.169854	500
Hs.421848	-500
Hs.379357	500
Hs.435655	-500
Hs.450659	500
Hs.26163	500
Hs.77578	500
Hs.149098	500
Hs.409223	500
Hs.380887	-500
Hs.28780	500
Hs.440769	500
Hs.169378	-74.8208397999406
Hs.494517	-500
Hs.440835	-500
Hs.389442	500
Hs.128366	-500
Hs.442156	-500
Hs.132980	5.04459487274289
Hs.105751	500
Hs.90998	500
Hs.193725	500
Hs.326	500
Hs.166684	-500
Hs.41587	500
Hs.25951	500
Hs.25155	-500
Hs.294101	-500
Hs.89791	500
Hs.19405	-500
Hs.123464	-500
Hs.150917	500
Hs.396503	-500
Hs.419815	185.504157561809
Hs.349111	168.526736088097
Hs.413608	500
Hs.153863	500
Hs.76894	-500
Hs.279669	500
Hs.76556	-500
Hs.100299	-400.765228550881
Hs.42712	162.940691225231
Hs.229641	418.273119721562
