"#name"	arr1	arr2	arr3	arr4
"21*10013286*BQ773938"	-0.07311	-0.136607	0.033542288	0.05643
"21*10079090.5*BnñGE5"	0.13149	0.109393	0.281005701	0.34003
"21*10117927.5*chr21:010117898-010117957"	-0.0764766666666667	-0.185940333333333	-0.0702140596666667	-0.126636666666667
"21*13339423.5*zU21orf99"	-0.14051	-0.143607	0.035952636	-0.08487
"21*13549164.5*chr21:013549135-013549194"	-0.08391	-0.069807	0.07357464	-0.01397
"21*13897725.5*chr21:013897697-013897754"	-0.12551	0.007863	-0.053862048	-0.00727
"21*13926107.5*nñNKRD21"	-0.13751	-0.066407	-0.063816741	-0.12997
"21*14334571.5*chr21:014334542-014334601"	-0.15851	-0.111607	0.001544244	-0.05497
"21*14460880.5*LOzU375108"	-0.20851	-0.323607	-0.038592801	-0.21297
"21*14510926*RBM11"	-0.10751	-0.053707	0.04776905	0.05433
"21*14546418.5*BU570227"	-0.09231	-0.052307	0.072825024	0.11303
"21*14585878.5*nñBzUzU13"	-0.13451	-0.143607	-0.098334107	0.03093
"21*14667839.5*S$zzUH"	-0.06661	-0.045307	0.170201608	-0.02027
"21*14675447*S$zzUH"	-0.09351	-0.235607	-0.077811278	0.01903
"21*14794855.5*SnñMSN1"	-0.16451	-0.161607	0.009657926	0.03743
"21*14815361.5*SnñMSN1"	-0.12351	-0.097607	0.063340414	-0.000749999999999999
"21*14847693.5*SnñMSN1"	-0.17351	-0.174607	0.227796582	0.05553
"21*14876339*SnñMSN1"	-0.02641	-0.061707	0.059052157	0.16703
"21*14964801.5*chr21:014964772-014964831"	0.01032	-0.020607	0.191881327	0.28003
"21*15028867.5*chr21:015028838-015028897"	-0.20951	-0.168607	-0.056304881	-0.08207
"21*15108952.5*chr21:015108923-015108982"	-0.05391	-0.053107	0.026506079	0.21203
"21*15255611.5*NRI231"	-0.08951	-0.074207	0.155533558	0.03443
"21*15258677.5*NRI231"	-0.12051	-0.103607	0.033641767	-0.03247
"21*15295920.5*chr21:015295891-015295950"	-0.00861	-0.072307	0.158764884	0.06223
"21*15510330.5*BU678720"	0.25549	0.225393	0.311051648	0.40003
"21*15603907.5*chr21:015603878-015603937"	0.04969	-0.045507	0.131192499	0.28103
"21*15716987.5*chr21:015716958-015717017"	-0.15851	-0.116607	0.006937021	0.02183
"21*15777862.5*chr21:015777833-015777892"	-0.07731	-0.185607	0.060185472	-0.01257
"21*15914155.5*chr21:015914126-015914185"	-0.03621	-0.176607	0.196823296	-0.09027
"21*15981893.5*chr21:015981864-015981923"	-0.04751	-0.096707	0.043394634	-0.03347
"21*16127539.5*US2325"	-0.03501	0.049293	0.157230668	0.06043
"21*16174152.5*US2325"	-0.06731	-0.149607	0.049458133	0.01252
"21*16263562.5*chr21:016263533-016263592"	-0.07861	-0.130607	0.037391485	0.02673
"21*16327953.5*chr21:016327924-016327983"	-0.04891	-0.019407	0.204562819	0.01212
"21*16402837.5*zU21orf34"	-0.08381	-0.083507	0.0132384	0.08923
"21*16508035.5*zU21orf34"	-0.15751	-0.128607	0.082560904	-0.00757
"21*16561620.5*zU21orf34"	-0.15451	-0.064807	0.015000106	0.02773
"21*16645232.5*zU21orf34"	-0.11651	-0.130607	0.134766773	0.05643
"21*16746651.5*zU21orf34"	-0.05901	-0.099807	0.045556838	0.06143
"21*16837964.5*zU21orf34"	-0.08931	-0.112607	0.027487669	-0.00134
"21*16899482.5*zU21orf34"	-0.08851	-0.078707	0.171642932	0.08263
"21*17003005.5*chr21:017002976-017003035"	0.04939	-0.028507	0.308513563	0.46303
"21*17060762.5*chr21:017060733-017060792"	-0.19251	-0.128607	0.061865378	-0.03677
"21*17145819.5*chr21:017145790-017145849"	0.00409	-0.026307	0.332936885	0.32303
"21*17204121.5*chr21:017204092-017204151"	-0.17251	-0.219607	0.102304038	0.03093
"21*17308776.5*chr21:017308747-017308806"	-0.11851	-0.269607	0.184137273	0.25103
"21*17434990.5*chr21:017434961-017435020"	-0.09201	-0.161607	0.057776763	0.11203
"21*17504795.5*chr21:017504766-017504825"	-0.11451	-0.031707	0.081884299	0.02663
"21*17645814.5*chr21:017645785-017645844"	-0.00941	-0.086607	0.374522801	0.39603
"21*17713630.5*chr21:017713601-017713660"	-0.13151	-0.140607	0.090804527	-0.03837
"21*17810529.5*zUXnñDR"	-0.11551	-0.135607	-0.013314003	0.00097
"21*17817140.5*zUXnñDR"	-0.03751	0.073693	0.049907555	-0.01047
"21*17854805.5*zUXnñDR"	-0.05731	-0.088707	-0.001090673	-0.09897
"21*17893097.5*B$zG3"	-0.10151	-0.079907	0.073119914	0.06483
"21*17896933.5*B$zG3"	-0.07991	-0.102607	0.02657249	0.01648
"21*17905106.5*B$zG3"	-0.00611	-0.042907	0.18503282	0.08343
"21*17957876.5*chr21:017957847-017957906"	-0.11551	-0.131607	0.006663271	-0.06197
"21*18057880.5*chr21:018057851-018057910"	-0.10451	-0.047107	0.140997121	0.04303
"21*18105754.5*zU21orf91"	-0.01831	-0.015307	-0.021841147	-0.01017
"21*18150939.5*zU21orf39"	-0.08871	-0.023607	0.188112716	-0.01227
"21*18212028.5*chr21:018211999-018212058"	-0.21751	-0.133607	0.082803826	-0.01607
"21*18212203.5*chr21:018212174-018212233"	-0.09551	0.014293	0.18270074	0.11003
"21*18351899.5*BF678696"	0.04339	0.062993	0.175147639	0.30503
"21*18435236.5*chr21:018435207-018435266"	-0.16351	-0.164607	0.041054786	0.02693
"21*18540724.5*zUHODL"	-0.19051	-0.136607	0.041066982	-0.08477
"21*18637755.5*23RSS7"	-0.20251	-0.176607	-0.014203745	-0.05747
"21*18677925.5*23RSS7"	-0.13251	-0.100107	-0.034544056	0.02133
"21*18727503.5*chr21:018727474-018727533"	-0.13351	-0.169607	0.073023605	-0.03567
"21*18790850.5*chr21:018790821-018790880"	-0.03411	-0.102607	0.136629484	0.01493
"21*18972426.5*BzU051441"	-0.17251	-0.067807	0.01165886	0.08063
"21*19078743.5*chr21:019078714-019078773"	-0.09851	-0.062007	0.036173616	0.09513
"21*19250823.5*$zHzU2098457"	-0.24851	-0.178607	-0.083865628	-0.10797
"21*19338002.5*chr21:019337973-019338032"	-0.01301	0.027693	0.278640111	0.33603
"21*19442943.5*chr21:019442914-019442973"	-0.06441	0.002283	0.150597213	0.18003
"21*19594551.5*chr21:019594522-019594581"	-0.25051	-0.130607	-0.027352084	0.0162
"21*19659134.5*chr21:019659105-019659164"	-0.15251	-0.085307	0.008867179	0.000230000000000001
"21*19813257.5*chr21:019813228-019813287"	-0.19451	-0.211607	0.029406018	-0.11197
"21*19989932.5*chr21:019989903-019989962"	-0.26051	-0.120607	-0.078558572	-0.09797
"21*20091903.5*chr21:020091874-020091933"	-0.14851	-0.132607	0.103702314	0.14103
"21*20152893.5*chr21:020152864-020152923"	-0.12351	0.021093	0.362611564	0.29803
"21*20227290.5*chr21:020227261-020227320"	-0.22451	-0.221607	-0.081307095	-0.14397
"21*20336554.5*chr21:020336525-020336584"	-0.12051	-0.082607	0.07756454	0.22303
"21*20621737.5*chr21:020621708-020621767"	-0.28751	-0.233607	0.047054031	-0.23397
"21*20706425.5*chr21:020706396-020706455"	0.14249	-0.155607	-0.058762751	-0.07667
"21*20768240.5*chr21:020768211-020768270"	-0.22451	-0.156607	0.030291876	-0.06727
"21*20849540.5*chr21:020849511-020849570"	-0.26651	-0.138607	0.106864081	-0.07727
"21*21038019.5*BzU064598"	-0.23651	-0.128607	0.083027705	-0.13397
"21*21108918.5*chr21:021108889-021108948"	-0.18751	-0.197607	-0.110712194	-0.09497
"21*21190839.5*chr21:021190810-021190869"	-0.22951	-0.155607	0.023569764	-0.04527
"21*21267759.5*chr21:021267730-021267789"	-0.18351	-0.187607	-0.071708868	-0.14897
"21*21301307.5*NzUnñM2"	-0.15451	-0.120607	0.017785286	0.04173
"21*21452051.5*NzUnñM2"	-0.15151	-0.015907	0.23579162	0.05023
"21*21580592.5*NzUnñM2"	0.01979	-0.014607	0.19477552	0.32703
"21*21704551.5*NzUnñM2"	-0.15351	-0.083307	0.031052699	-0.05567
"21*21833119.5*NzUnñM2"	-0.17301	-0.029637	0.08906668	0.00083
"21*21833502.5*NzUnñM2"	-0.20451	-0.203607	-0.115613191	-0.12997
"21*21899518.5*BG221697"	-0.25251	-0.201607	-0.062227739	-0.04987
"21*21987438.5*chr21:021987409-021987468"	0.05539	0.067193	0.234707357	0.21103
"21*22049042.5*BzU035642"	-0.11651	-0.016007	0.116298412	0.11703
"21*22152428.5*chr21:022152399-022152458"	-0.18651	-0.100607	0.030503582	-0.000220000000000000
"21*22349960.5*BzU039377"	-0.16051	-0.214607	0.12622035	0.06733
"21*22409187*zU21orf74"	-0.15351	-0.099007	0.020445623	0.18503
"21*22517773.5*chr21:022517744-022517803"	-0.22951	-0.170607	-0.149592865	-0.18497
"21*22607475.5*chr21:022607446-022607505"	-0.12951	-0.006027	0.129183865	0.01329
"21*22717066.5*chr21:022717037-022717096"	-0.12351	-0.141607	-0.161599571	-0.20097
"21*22849067.5*chr21:022849038-022849097"	-0.06341	0.071193	0.152992947	0.15703
"21*22930733.5*chr21:022930704-022930763"	-0.11751	-0.036507	0.130430753	0.20103
"21*23053196.5*chr21:023053167-023053226"	-0.16251	-0.151607	-0.029133924	-0.06187
"21*23261492.5*chr21:023261463-023261522"	-0.09751	-0.110607	-0.017756793	-0.01907
"21*23320356.5*chr21:023320327-023320386"	-0.03701	-0.092507	0.231274953	0.18303
"21*23415519.5*chr21:023415490-023415549"	-0.15451	-0.101607	0.02788193	-0.09697
"21*23471463.5*chr21:023471434-023471493"	-0.17351	-0.164607	0.046297004	-0.01997
"21*23544014.5*chr21:023543985-023544044"	-0.01271	0.052393	0.105339102	0.08713
"21*23609080.5*chr21:023609051-023609110"	-0.09171	-0.076907	0.118856319	0.06493
"21*23681008.5*chr21:023680979-023681038"	-0.25551	-0.160607	-0.166558002	-0.12697
"21*23820078.5*chr21:023820049-023820108"	-0.12551	-0.098807	0.033490246	0.14703
"21*23875849.5*chr21:023875820-023875879"	-0.19651	-0.182607	-0.055440579	-0.06297
"21*23986325.5*chr21:023986296-023986355"	-0.20151	-0.108607	0.074046197	0.01346
"21*24064832.5*chr21:024064803-024064862"	-0.08121	-0.064607	0.163000487	0.04833
"21*24125665.5*chr21:024125636-024125695"	-0.16851	-0.036607	0.065486264	0.09463
"21*24363614.5*chr21:024363585-024363644"	0.17749	0.079493	0.412077518	0.40503
"21*24456112.5*chr21:024456083-024456142"	-0.19851	-0.133607	-0.125425287	-0.11097
"21*24560474.5*chr21:024560445-024560504"	-0.03381	-0.038707	0.001962011	0.10223
"21*24705640.5*chr21:024705611-024705670"	-0.29751	-0.223607	-0.009018922	-0.13997
"21*24950186.5*chr21:024950157-024950216"	-0.21951	-0.089407	0.0773875	-0.05527
"21*25047805.5*chr21:025047776-025047835"	-0.25051	-0.198607	-0.018284383	-0.13697
"21*25237275.5*chr21:025237246-025237305"	-0.20351	-0.096607	0.054111566	-0.03967
"21*25308700.5*chr21:025308671-025308730"	-0.23651	-0.147607	0.11445867	-0.08517
"21*25380588.5*chr21:025380559-025380618"	-0.11651	-0.062107	0.025406011	0.07203
