#Name	Chromosome	Start	End	sample1	sample2	sample3
CL_1	1	7157	7159	-0.254	-0.176	0.077
CL_2	1	3623	3625	0.465	-0.82	1.083
CL_3	1	4243	4245	0.208	-0.879	-0.703
CL_4	1	9206	9208	-0.098	0.103	0.841
CL_5	1	16848	16850	-0.684	0.406	-0.216
CL_6	1	37555	37557	-0.342	-0.112	-1.298
CL_7	1	22677	22679	0.069	-0.265	0.728
CL_8	1	14717	14719	0.256	-0.49	0.865
CL_9	1	39907	39909	0.288	-0.773	1.309
CL_10	1	18483	18485	1.142	-0.549	0.914
CL_11	1	19347	19349	-0.685	1.813	0.742
CL_12	1	24426	24428	0.251	-0.193	0.076
CL_13	1	72021	72023	-0.195	-0.62	0.2
CL_14	1	73775	73777	-0.651	0.044	-0.508
CL_15	1	83594	83596	0.233	-0.36	-0.161
CL_16	1	68851	68853	0.629	-0.634	-0.215
CL_17	1	71157	71159	-1.863	1.068	-2.074
CL_18	1	27457	27459	-2.521	2.244	-1.399
CL_19	1	92013	92015	-1.284	0.501	-1.081
CL_20	1	88877	88879	-0.524	-0.837	-0.365
CL_21	1	70631	70633	0.439	0.057	1.1
CL_22	1	117885	117887	-1.421	0.916	-1.339
CL_23	1	110013	110015	0.081	0.417	0.024
CL_24	1	129594	129596	0.362	0.091	0.176
CL_26	1	33822	33824	-0.03	0.649	0.436
CL_27	1	84756	84758	0.73	-0.773	0.179
CL_28	1	40963	40965	-0.697	0.456	-0.229
CL_29	1	112245	112247	0.416	0.09	0.68
CL_30	1	114484	114486	-0.594	0.706	0.05
CL_31	1	44974	44976	-1.444	-1.865	-2.023
CL_32	1	63870	63872	-1.756	-1.323	-1.278
CL_33	1	192161	192163	-1.278	-1.181	-2.021
CL_34	1	123755	123757	-1.515	-1.895	-2.009
CL_35	1	204689	204691	-1.284	-1.16	-1.051
CL_37	1	69558	69560	-1.897	-1.066	-1.248
CL_38	1	182893	182895	-1.432	-1.149	-1.406
CL_39	1	154390	154392	-2.044	-1.107	-1.637
CL_40	1	199751	199753	-1.614	-1.4	-1.907
CL_41	1	168994	168996	-1.377	-1.128	-1.109
CL_42	1	187110	187112	-1.247	-1.812	-1.301
CL_43	1	72434	72436	-2.157	-1.549	-1.225
CL_44	1	184433	184435	-1.762	-1.339	-1.39
CL_45	1	179129	179131	-1.442	-2.169	-1.339
CL_46	1	196802	196804	-1.674	-1.782	-1.633
CL_47	1	88112	88114	-1.515	-1.303	-1.907
CL_48	1	97976	97978	-1.825	-1.74	-1.26
CL_49	1	118981	118983	-1.639	-1.407	-1.273
CL_50	1	88790	88792	-1.853	-1.22	-1.379
CL_51	1	155991	155993	-1.495	-1.824	-1.861
CL_52	1	225520	225522	-2.042	-2.022	-1.828
CL_53	1	263844	263846	-1.92	-2.019	-1.986
CL_54	1	98555	98557	-2.126	-1.513	-1.097
CL_55	1	280924	280926	-1.995	-1.391	-1.744
CL_56	1	291109	291111	-1.704	-1.369	-1.272
CL_57	1	113205	113207	-1.252	-1.703	-1.691
