#rownames.xcenter.	Chromosome	Pos.Start	Pos.End
21*10013286*BQ773938	21	10013263	10013309
21*10079090.5*BAGE5	21	10079061	10079120
21*10117927.5*chr21:010117898-010117957	21	10117898	10117957
21*13339423.5*C21orf99	21	13339394	13339453
21*13549164.5*chr21:013549135-013549194	21	13549135	13549194
21*13897725.5*chr21:013897697-013897754	21	13897697	13897754
21*13926107.5*ANKRD21	21	13926078	13926137
21*14334571.5*chr21:014334542-014334601	21	14334542	14334601
21*14460880.5*LOC375108	21	14460851	14460910
21*14510926*RBM11	21	14510897	14510955
21*14546418.5*BU570227	21	14546389	14546448
21*14585878.5*ABCC13	21	14585849	14585908
21*14667839.5*STCH	21	14667810	14667869
21*14675447*STCH	21	14675418	14675476
21*14794855.5*SAMSN1	21	14794826	14794885
21*14815361.5*SAMSN1	21	14815332	14815391
21*14847693.5*SAMSN1	21	14847664	14847723
21*14876339*SAMSN1	21	14876312	14876366
21*14964801.5*chr21:014964772-014964831	21	14964772	14964831
21*15028867.5*chr21:015028838-015028897	21	15028838	15028897
21*15108952.5*chr21:015108923-015108982	21	15108923	15108982
21*15255611.5*NRIP1	21	15255582	15255641
21*15258677.5*NRIP1	21	15258648	15258707
21*15295920.5*chr21:015295891-015295950	21	15295891	15295950
21*15510330.5*BU678720	21	15510301	15510360
21*15603907.5*chr21:015603878-015603937	21	15603878	15603937
21*15716987.5*chr21:015716958-015717017	21	15716958	15717017
21*15777862.5*chr21:015777833-015777892	21	15777833	15777892
21*15914155.5*chr21:015914126-015914185	21	15914126	15914185
21*15981893.5*chr21:015981864-015981923	21	15981864	15981923
21*16127539.5*USP25	21	16127510	16127569
21*16174152.5*USP25	21	16174123	16174182
21*16263562.5*chr21:016263533-016263592	21	16263533	16263592
21*16327953.5*chr21:016327924-016327983	21	16327924	16327983
21*16402837.5*C21orf34	21	16402808	16402867
21*16508035.5*C21orf34	21	16508006	16508065
21*16561620.5*C21orf34	21	16561591	16561650
21*16645232.5*C21orf34	21	16645203	16645262
21*16746651.5*C21orf34	21	16746622	16746681
21*16837964.5*C21orf34	21	16837935	16837994
21*16899482.5*C21orf34	21	16899453	16899512
21*17003005.5*chr21:017002976-017003035	21	17002976	17003035
21*17060762.5*chr21:017060733-017060792	21	17060733	17060792
21*17145819.5*chr21:017145790-017145849	21	17145790	17145849
21*17204121.5*chr21:017204092-017204151	21	17204092	17204151
21*17308776.5*chr21:017308747-017308806	21	17308747	17308806
21*17434990.5*chr21:017434961-017435020	21	17434961	17435020
21*17504795.5*chr21:017504766-017504825	21	17504766	17504825
21*17645814.5*chr21:017645785-017645844	21	17645785	17645844
21*17713630.5*chr21:017713601-017713660	21	17713601	17713660
21*17810529.5*CXADR	21	17810500	17810559
21*17817140.5*CXADR	21	17817111	17817170
21*17854805.5*CXADR	21	17854776	17854835
21*17893097.5*BTG3	21	17893068	17893127
21*17896933.5*BTG3	21	17896904	17896963
21*17905106.5*BTG3	21	17905077	17905136
21*17957876.5*chr21:017957847-017957906	21	17957847	17957906
21*18057880.5*chr21:018057851-018057910	21	18057851	18057910
21*18105754.5*C21orf91	21	18105725	18105784
21*18150939.5*C21orf39	21	18150910	18150969
21*18212028.5*chr21:018211999-018212058	21	18211999	18212058
21*18212203.5*chr21:018212174-018212233	21	18212174	18212233
21*18351899.5*BF678696	21	18351870	18351929
21*18435236.5*chr21:018435207-018435266	21	18435207	18435266
21*18540724.5*CHODL	21	18540695	18540754
21*18637755.5*PRSS7	21	18637726	18637785
21*18677925.5*PRSS7	21	18677896	18677955
21*18727503.5*chr21:018727474-018727533	21	18727474	18727533
21*18790850.5*chr21:018790821-018790880	21	18790821	18790880
21*18972426.5*BC051441	21	18972397	18972456
21*19078743.5*chr21:019078714-019078773	21	19078714	19078773
21*19250823.5*THC2098457	21	19250794	19250853
21*19338002.5*chr21:019337973-019338032	21	19337973	19338032
21*19442943.5*chr21:019442914-019442973	21	19442914	19442973
21*19594551.5*chr21:019594522-019594581	21	19594522	19594581
21*19659134.5*chr21:019659105-019659164	21	19659105	19659164
21*19813257.5*chr21:019813228-019813287	21	19813228	19813287
21*19989932.5*chr21:019989903-019989962	21	19989903	19989962
21*20091903.5*chr21:020091874-020091933	21	20091874	20091933
21*20152893.5*chr21:020152864-020152923	21	20152864	20152923
21*20227290.5*chr21:020227261-020227320	21	20227261	20227320
21*20336554.5*chr21:020336525-020336584	21	20336525	20336584
21*20621737.5*chr21:020621708-020621767	21	20621708	20621767
21*20706425.5*chr21:020706396-020706455	21	20706396	20706455
21*20768240.5*chr21:020768211-020768270	21	20768211	20768270
21*20849540.5*chr21:020849511-020849570	21	20849511	20849570
21*21038019.5*BC064598	21	21037990	21038049
21*21108918.5*chr21:021108889-021108948	21	21108889	21108948
21*21190839.5*chr21:021190810-021190869	21	21190810	21190869
21*21267759.5*chr21:021267730-021267789	21	21267730	21267789
21*21301307.5*NCAM2	21	21301278	21301337
21*21452051.5*NCAM2	21	21452022	21452081
21*21580592.5*NCAM2	21	21580563	21580622
21*21704551.5*NCAM2	21	21704522	21704581
21*21833119.5*NCAM2	21	21833090	21833149
21*21833502.5*NCAM2	21	21833473	21833532
21*21899518.5*BG221697	21	21899489	21899548
21*21987438.5*chr21:021987409-021987468	21	21987409	21987468
21*22049042.5*BC035642	21	22049013	22049072
21*22152428.5*chr21:022152399-022152458	21	22152399	22152458
21*22349960.5*BC039377	21	22349931	22349990
21*22409187*C21orf74	21	22409160	22409214
21*22517773.5*chr21:022517744-022517803	21	22517744	22517803
21*22607475.5*chr21:022607446-022607505	21	22607446	22607505
21*22717066.5*chr21:022717037-022717096	21	22717037	22717096
21*22849067.5*chr21:022849038-022849097	21	22849038	22849097
21*22930733.5*chr21:022930704-022930763	21	22930704	22930763
21*23053196.5*chr21:023053167-023053226	21	23053167	23053226
21*23261492.5*chr21:023261463-023261522	21	23261463	23261522
21*23320356.5*chr21:023320327-023320386	21	23320327	23320386
21*23415519.5*chr21:023415490-023415549	21	23415490	23415549
21*23471463.5*chr21:023471434-023471493	21	23471434	23471493
21*23544014.5*chr21:023543985-023544044	21	23543985	23544044
21*23609080.5*chr21:023609051-023609110	21	23609051	23609110
21*23681008.5*chr21:023680979-023681038	21	23680979	23681038
21*23820078.5*chr21:023820049-023820108	21	23820049	23820108
21*23875849.5*chr21:023875820-023875879	21	23875820	23875879
21*23986325.5*chr21:023986296-023986355	21	23986296	23986355
21*24064832.5*chr21:024064803-024064862	21	24064803	24064862
21*24125665.5*chr21:024125636-024125695	21	24125636	24125695
21*24363614.5*chr21:024363585-024363644	21	24363585	24363644
21*24456112.5*chr21:024456083-024456142	21	24456083	24456142
21*24560474.5*chr21:024560445-024560504	21	24560445	24560504
21*24705640.5*chr21:024705611-024705670	21	24705611	24705670
21*24950186.5*chr21:024950157-024950216	21	24950157	24950216
21*25047805.5*chr21:025047776-025047835	21	25047776	25047835
21*25237275.5*chr21:025237246-025237305	21	25237246	25237305
21*25308700.5*chr21:025308671-025308730	21	25308671	25308730
21*25380588.5*chr21:025380559-025380618	21	25380559	25380618
21*25518063.5*chr21:025518034-025518093	21	25518034	25518093
